frame,track_id,x1,y1,x2,y2,conf,finger
141,21,392,1748,483,1856,0.65,Thumb
142,21,394,1763,484,1869,0.40,Thumb
143,21,401,1777,483,1877,0.43,Thumb
144,21,403,1791,483,1891,0.36,Thumb
145,21,403,1803,483,1903,0.36,Middle
146,21,402,1815,482,1914,0.36,Index
147,21,401,1827,481,1926,0.36,Index
148,21,401,1840,480,1938,0.36,Thumb
149,21,412,1868,493,1971,0.31,Thumb
150,21,412,1882,494,1984,0.35,Thumb
151,21,413,1896,494,1998,0.35,Thumb
152,21,413,1909,495,2012,0.35,Thumb
153,21,429,1927,511,2031,0.32,Unknown
154,21,442,1941,526,2044,0.38,Unknown
155,21,446,1956,529,2058,0.64,Unknown
155,28,742,1775,814,1867,0.64,Unknown
156,21,449,1970,532,2072,0.64,Unknown
156,28,743,1776,813,1865,0.64,Unknown
157,21,452,1984,535,2086,0.53,Unknown
157,28,742,1780,807,1862,0.53,Unknown
158,21,455,1998,538,2100,0.53,Unknown
158,28,743,1782,805,1860,0.53,Unknown
159,21,474,1977,562,2082,0.36,Unknown
159,28,739,1766,809,1853,0.36,Unknown
160,21,478,1988,567,2093,0.36,Thumb
160,28,739,1764,808,1850,0.36,Thumb
161,21,492,2002,571,2091,0.67,Unknown
161,28,739,1762,807,1847,0.67,Unknown
162,21,498,2009,580,2101,0.42,Unknown
162,28,739,1760,806,1844,0.42,Unknown
163,21,503,2020,585,2111,0.42,Thumb
163,28,738,1758,805,1841,0.42,Thumb
164,21,509,2031,590,2121,0.36,Thumb
164,28,738,1756,804,1838,0.36,Thumb
165,21,515,2041,595,2131,0.49,Thumb
165,28,750,1766,817,1847,0.49,Thumb
166,21,518,2031,605,2124,0.51,Thumb
166,28,751,1765,817,1845,0.51,Thumb
167,21,528,2044,610,2130,0.59,Unknown
167,28,753,1764,817,1843,0.59,Unknown
168,21,532,2053,616,2138,0.56,Thumb
168,28,754,1764,817,1842,0.56,Thumb
169,21,533,2055,621,2145,0.66,Unknown
169,28,755,1763,818,1840,0.66,Unknown
170,21,543,2070,626,2150,0.70,Thumb
170,28,756,1762,818,1838,0.70,Thumb
171,21,550,2079,631,2157,0.70,Thumb
171,28,757,1762,818,1836,0.70,Thumb
172,21,552,2075,642,2161,0.38,Thumb
172,28,758,1761,819,1835,0.38,Thumb
173,21,558,2082,648,2168,0.38,Thumb
173,28,759,1760,819,1833,0.38,Thumb
174,21,554,2071,652,2165,0.51,Thumb
174,28,761,1759,819,1831,0.51,Thumb
175,21,559,2077,659,2169,0.46,Thumb
175,28,762,1759,819,1829,0.46,Thumb
